But I'll be gone 'til November I got packs to move I Hope,action,,
"Come Erykah Badu me, well, let's make a movie",action,,
Five buddies all herded up on a Thursday,action,,
"God damn, got a bald fade, I might slam",action,,
He gone make it into a Benz out of that Datsun,action,,
"I got something to lose, so I gotta move",action,,
I remember Amber told my boy no matter what happens she ain't going back to Philly,action,,
"I said baby, spin that round and say the alphabet backwards",action,,
"I show you the ropes, connect the dots",action,,
I'm jumping out the window,action,,
I'm living in the 21st century doin' something mean to it,action,,
"I'm tryin' to hit it early, like I'm in a hurry",action,,
Mama used to cook red beans and rice,action,family and friends,
"No more wasting time, you can't wait for life",action,,
Now you wanna divide the yam like it equate the math?,action,,
People will talk Like its old news,action,,
"See I had to go, I had to move",action,,
Stop trippin' I'm tripping off the power,action,opinion,
Textin' and drivin' down Mulholland Drive,action,,
"There's dishes in the back, he gotta roll up his sleeves",action,,
We ain't going nowhere but got suits and cases,action,,
"What I had to do, had to run from you",action,,
"AKA, step. Delta, step",adlib,,
All for a chance to be a star,adlib,,
"Alpha, step. Omega, step",adlib,,
"I feel a woo coming on, cuz. I feel a woo coming on, cuz",adlib,,
"I feel some woos coming on, cuz. A couple woos coming on, cuz",adlib,,
"Kappa, step. Sigma, step",adlib,,
"La di da di da, da",adlib,,
"Ladies say ""Nam Myoho Renge Kyo""",adlib,,
"S G Rho, step. Zeta, step",adlib,,
Scary,adlib,emotion,
SWISH,adlib,,
The next generation will be the real victims,adlib,conflict,
WOO,adlib,,
"WOO, WOO",adlib,,
"But the writer's block is over, emcees cancel your plans",advice,,
But you stay right girl,advice,,
"Everything I want I gotta wait a year, I wait a year",advice,,
Never ever never come back in style,advice,,
No more (Los Angeles),advice,adlib,
No more parties in LA,advice,adlib,
Nowhere seems to be too far,advice,adlib,
"Please (shake that body, party that body)",advice,sex and party,
"Please, baby, no more parties in LA, uh",advice,adlib,
"So, stick by his side",advice,,
"You're dealing with malpractice, don't kill a good nigga's confidence",advice,,
And I gotta take all they bad ass to show-biz,career,,
"Back to school and I hate it there, I hate it there",career,,
but I'll just take the I-got-a-lot-of-cheese award,career,,
can I add that he do spaz out at his shows,career,,
Chasin' y'all dreams and what you've got planned,career,,
"Common passed on this beat, I made it to a jam,",career,,
"He got that ambition, baby, look in his eyes",career,,
"I went to Cheesecake, he was a motherfucking waiter there",career,,
I'm just trying to say the way school need teachers,career,,
I'mma put you on game for the lames that don't know they're a rookie,career,,
Oh she's a gold digger way over town,career,,
"R&B singers and lesbians, rappers and managers",career,,
School spirit motherfuckers,career,,
Strippers get invited to where they only get hired,career,sex and party,
"They say, 'Oh you graduated?'",career,,
This nigga graduated at the top of my class..,career,,
"This week he mopping floors, next week it's the fries",career,,
"Told 'em I finished school, and I started my own business",career,,
We rappers are role models we rap we don't think,career,existential,
"When I get on my Steve Jobs, somebody gon' get fired",career,,
Win the Superbowl and drive off in a Hyundai,career,,
You will see him on TV any given Sunday,career,,
and I'm back to tear it up,conflict,,
"Bottle service, head service, I came in first place",conflict,,
Crack my head on the steering wheel and I ain't even dead,conflict,,
"damn, here we go again.",conflict,,
"haters, start your engines",conflict,,
Huh? Y'all eat pieces of shit? What's the basis?,conflict,,
I'm an asshole? You niggas got jokes!,conflict,opinion,
"I'ma, I'ma break shit down",conflict,,
If I could go through all that and still be breathing,conflict,,
"just last year, Chicago had over 600 caskets",conflict,,
Let me know if you feel it man,conflict,,
More specifically they can kiss my ass hole,conflict,action,
Now I spit it so hot you got tanned,conflict,,
"OK fair enough, the streets is flarin' up",conflict,,
people talk so much shit about me at barbershops,conflict,,
"people talking shit, but when the shit hit the fan",conflict,,
"Saying, ""We eat pieces of shit like you for breakfast.""",conflict,,
"Screaming no no no, no no",conflict,,
"Screams from the haters, got a nice ring to it",conflict,emotion,
"See, that's how dude became the young pootie tang tippy tow",conflict,,
"Somewhere far from home, in the danger zone",conflict,,
Tell them Yeezy said they can kiss my whole ass,conflict,action,emotion
That digs on me,conflict,,
"That shit don't add up, you're making them mad as fuck",conflict,,
"The system broken, the school's closed, the prison's open",conflict,,
"This shit unanimous for you, it's damaging for you, one thing",conflict,,
"Til we lose control, system overload",conflict,,
Try to catch it Uhhhh! It's kinda hard,conflict,,
Well mamma I know I act a fool,conflict,,
What I'm supposed to do?,conflict,emotion,adlib
"Yo, we at war",conflict,,
You don't want your dude to smoke but he can't buy weed,conflict,,
"You go out to eat, he can't pay y'all can't leave",conflict,,
21st century schizoid man,emotion,,
A country girl that love Hollywood,emotion,,
"And yeah G, I was all for it",emotion,opinion,
"But Saint is baby Ye, I ain't worried 'bout him",emotion,opinion,
"Even the one that stole the laptop, you dirty motherfucker",emotion,,
Every agent I know know I hate agents,emotion,opinion,conflict
everybody sayin' what's not for him,emotion,,
"Gotta keep it going, keep the loving going",emotion,,
Her love is a thousand miles away,emotion,relationships,
I be paranoid every time,emotion,,
"I be worried 'bout my daughter, I be worried 'bout Kim",emotion,,
"I can't keep my cool, so I keep it true",emotion,action,
I embody every characteristic of the egotistic,emotion,opinion,
I played it off and act like I already knew,emotion,action,
"I'm in love with you, but the vibe is wrong",emotion,relationships,
"I'm not loving you, the way I wanted to",emotion,relationships,
"If I'll be with you, baby I'm confused",emotion,relationships,
It's 4am and I can't sleep,emotion,action,
Memories made in the coldest winter,emotion,weather,
My face turnt to stone When I heard the news,emotion,,
Never Again,emotion,,
Never Again,emotion,,
"Never know enough, til it's over love",emotion,,
"No I said I'm through, but got love for you",emotion,,
On lonely nights I start to fade,emotion,,
"See I wanna move, but can't escape from you",emotion,relationship,
So everybody else don't have to know,emotion,family and friends,
"This is way too much, I need a moment.",emotion,,
"We ain't got nothing to lose, motherfucker, we rollin',",emotion,opinion,
When you decide to break the rules Cos I just heard some real bad news,emotion,,
You played it off and act like he's brand new,emotion,action,
And I don't think there is nothing I can do now to right my wrongs,existential,conflict,
"And that haunted me, all the way home",existential,,
As I look down at my diamond encrusted piece thinking...,existential,,
Didn't you know I was waiting on you,existential,,
"everything I'm not, made me everything I am.",existential,,
Got treasures in my mind but couldn't open up my own vault,existential,,
I be thinkin' every day,existential,,
"I been down this road, too many times before",existential,,
"I can't keep myself, and still keep you too",existential,relationships,
"I come as correct as a porn star,",existential,,
I feel like Pablo when I see me on the news,existential,,
I feel like Pablo when I'm workin' on my house,existential,,
I feel like Pablo when I'm workin' on my shoes,existential,,
